序号,产品品牌,产品名称（包含厂商、型号）,操作系统,芯片型号,编译系统,编译工具链
,,,,,,
1.0,李未可,LWK City,RTX,bes2500yp,make,gcc-arm-none-eabi-9 
2.0,聆葵,聆葵LM20,无,Telink 8258,windows,
3.0,影目,INMO GO2,Android,unisoc  6151E,android studio,gradle
4.0,云诀,沸蛇AI语音鼠标,无,Telink 825X,windows,tc32-elf-gcc
5.0,快上云小水,快上云A6,Android,ASR8601,不涉及,不涉及
6.0,来酷,Lecoo P116G,Android,,,
7.0,升腾,5G云电脑EC-NB02,Android,RK3568,Ubuntu20.04,链接: https://pan.baidu.com/s/1iMuBgY_Y-3NxCicqrZqYzw 提取码: um7v
8.0,颖联,香柚智能学习台灯,Linux,GK7201V300, ubuntu 20:04 ,"https://caiyun.139.com/m/i?1A5ChOyc1dWlF 
           提取码:5tud"
9.0,KUMI库觅,4G通话AI智能手表,LiteOS-M,YH601S,Clang,链接:https://pan.baidu.com/s/18XkXOCKiqzZssDDPDnY3Nw?pwd=wr66 提取码:wr66 
10.0,深圳市五兴科技有限公司,4G版AI智能语音鼠标,threadX,1803sc,"LINUX,WINDOWS","gnumake-3.81,RVCT 3.1,armv7-marvell-eabi"
11.0,华为手环,华为手环10,,,,
12.0,魅族,魅族StarV Air2,,,,
13.0,中国移动算力主机,算力主机,,,,
14.0,中兴,PAD,Android,,,
15.0,中国移动,学生证, UNC RTOS,展锐w217, windown, https://pan.baidu.com/s/112_CEbpJxEcNw6cc6-YdbQ?pwd=aetk 提取码: aetk
16.0,希沃,学习机,Android,展锐T765,,请提供工具链下载链接
17.0,云之尚,星辰机器人,FreeRTOS,MCU:XR872,linux,"https://launchpad.net/gcc-arm-embedded/4.9/4.9-2015-q2-update/+download/gcc-arm-none-eabi-4_9-2015q2-20150609-linux.tar.bz2 
tar -xf gcc-arm-none-eabi-4_9-2015q2-20150609-linux.tar.bz2"
18.0,Newsmy纽曼,AI耳机,/,5656C3,/,/
19.0,润小明,润小明ZD16 PRO/ZD15,RTOS,Ac7911,MQTT v3.1.1,/
20.0,YOXON,成都金麦客科技有限公司 AI智能鼠标 M95 Pro,,RK3528,ubuntu,Android Stdio
21.0,咪鼠,咪鼠M4AI智能鼠标,windows / macos,B11，B12,windows7及以上、macos10.15及以上,webpack、electron-builder
22.0,艾守佳,艾守佳X3,mcu,iTingM5,嵌入式,keil
23.0,FoloToy,magicbox,FreeRTOS,ESP32-S3-WROOM-1-N16R8,windows11,ESP-IDF V5.4.0(https://www.espressif.com.cn/zh-hans/products/sdks/esp-idf)
24.0,电萝卜,电萝卜AI鼠标D3/D6/D8（麦吉工场）,无,TLSR8251,gcc,Telink IDE
25.0,Leion Hey,Leion Hey 2（亮亮视野听语者2）,Freertos,BES2800,GCC,arm-none-eabi-gcc
26.0,炯为Jowave,炯为AI智能语音终端（具有4G功能）,RTOS,ASR1606S,GCC,移远AI SDK
27.0,喜马拉雅,喜马拉雅 Ai耳机XMLY Clip5,RTOS,JL7016G6,CodeBlocks,不支持
28.0,思特,思特电子学生证-C96,RTOS,UWS6121E,WINDOW,GCC
29.0,大华,大华 智慧一体机 DH-LM27-U200PM,安卓,mt8786,ubuntu,gcc
30.0,中国移动,云电脑一体机,Android,RK3568,Ubuntu20.04,链接: https://pan.baidu.com/s/1iMuBgY_Y-3NxCicqrZqYzw 提取码: um7v
31.0,中国移动,中国移动5G云Pad EC-PAD01,Android,T760(UMS9260),,
32.0,中兴,中兴云电脑W205DS,Android,T760(UMS9260),,
33.0,China Mobile,EC-PAD01 SE,Andriod,Unisoc T765,Ubuntu 14.04.2 LTS,https://source.android.com/setup/build/initializing
34.0,挚听,挚听ITE 1.0 Pro,RTOS,BES 2700YP,基于 RTOS 的嵌入式系统,GNU/GCC
35.0,玑米,AI智能语音鼠标,OSAL,FR8016,Keil uVision5 ,ARM Compiler 5 (ARMCC)
36.0,中国移动,中国移动5G云Pad EC-PAD01,Android,T760(UMS9260),,
37.0,中兴,中兴云电脑W205DS,Android,T760(UMS9260),,
38.0,弘山鸣,弘山鸣 HM-001,Windows、Mac OS,TLSR8250F512ET48 ,Windows,https://www.telink-semi.cn/development-tools
39.0,喜马拉雅,喜马拉雅 Ai耳机XMLY Clip5,RTOS,JL7016G6,CodeBlocks,不支持
40.0,思特,思特电子学生证-C96,RTOS,UWS6121E,WINDOW,GCC
41.0,Rokid,乐奇智能眼镜,Rokid Yodaos-Sprite操作系统,高通骁龙AR1,/,/
42.0,阿尔法蛋,智能故事机Z1,freertos,ESP32,ubuntu,https://github.com/espressif/esp-idf.git
43.0,智驿未来,AI智能语音鼠标,OSAL,FR8016,Keil uVision5 ,ARM Compiler 5 (ARMCC)
44.0,Haivivi,Haivivi BubblePal AI互动玩具H-100,freertos,AC7912BB,windows,"codeblocks: http://pkgman.jieliapp.com/s/codeblocks
杰里工具链: https://jl-update.oss-cn-shenzhen.aliyuncs.com/2.5.1.exe"
45.0,浪潮通信技术有限公司,浪潮-云平板,Android,UMS9621S,Ubuntu 20.04.6 LTS,AOSP自带clang-r450784d
46.0,麦吉工场（北京）信息技术有限公司,苏晓伴AI鼠标,无,TLSR8251,gcc,Telink IDE
47.0,深圳创维数字技术有限公司,创维-AI眼镜SK1,FreeRTOS+Linux,全志V821,Linux, nds32le‑linux‑musl‑v5d/bin
48.0,KUMI库觅,KUMI Watch3S 5G AI学习手表,ThreadX,ASR3901,Windows系统msys2,ARM DS-5 V5.26.2 (64-bit)
49.0,JXD,深圳金星睿视科技有限公司,Android,ASR8601,Soong,arm-eabi-gcc
50.0,小寻,小寻儿童电话手表M6,RTOS,ASR3603S,"编译环境系统Windows系统msys2，推荐Windows 7，支持Windows10、Windows11。 
 msys2-x86_64-20190524 (64-bit)官网：http://repo.msys2.org/distrib/x86_64/msys2-x86_64-20190524.exe","编译链 ARM DS-5 V5.26.2 (64-bit) 
 官网：https://developer.arm.com/tools-and-software/embedded/legacy-tools/ds-5-development-studio/downloads "
51.0,上学啦（深圳）科技有限公司,贴近-儿童手表,RTOS,JL7013A7S+GX308X,Code::Blocks,下载链接：https://jl-update.oss-cn-shenzhen.aliyuncs.com/2.5.2.exe
52.0,杭州光粒科技有限公司,Holoswim2s，Holoswim2pro，Holoswim2se，Holoswim2Young，Holoswim2GO,泰凌微实时内核 (裸机)（也可移植运行FreeRTOS）,TLSR9218B,Makefile,RISC-V GCC Toolchain
53.0,莲偶科技,莲偶科技,Android,RK3588S,linux 编译,
54.0,移柯通信,移柯通信,ThreadX,asr1607,windows,https://caiyun.139.com/w/i/2pbtTvkcgEPs2 提取码:uvh9
55.0,朝歌科技,4G智能手表,系统Openharmony，内核liteos,HiDiTing,Linux,https://pan2.sunniwell.net:3008/sharing/xfBfvJTMN
56.0,世汉科技（深圳）有限公司,世汉科技,"Windows7,10,11/Mac10.15+",iTingM7,"MSVC2019,NodeJs",Visual Studio 202，Nodejs
57.0,上海喵帮科技有限公司,作业帮学习机,Android,MT8786,ubuntu,Android编译工具链
58.0,繁星智算科技（北京）有限公司,中国移动云电脑智慧小盒,Android , RK3528,,
59.0,深圳熠邦实业有限公司,中献,FreeRTOS,EC801ECNCG,gcc,arm-none-eabi
60.0,乐鑫,一芽 AI 舞台,FreeRTOS（ESP-IDF 内置，默认 RTOS）,ESP32S3,CMake + Ninja（ESP-IDF 默认使用）,xtensa-esp32s3-elf-gcc（乐鑫提供的交叉编译工具链）
61.0,快上云(上海)网络科技有限公司,小水智能-AI智能语音鼠标,Windows、Mac OS,AB bluetrum 2021A3,Windows,https://www.bluetrum.com/wiki/help/guide/first/start
62.0,快上云(上海)网络科技有限公司,小水智能-AI智能语音鼠标,Windows、Mac OS,TLSR8250F512ET32,Windows,https://www.telink-semi.cn/development-tools
63.0,蔚玛（东莞）科技有限公司,漫玺-Ai拍学机,freertos,AC7923AF,GNU Make,https://pkgman.jieliapp.com/s/win-toolchain
64.0,北京乐开问语科技有限责任公司,AI智伴小熊,FreeRTOS,ESP32S3-R2,Linux,idf
65.0,乐鑫,一芽 AI 花生,模组内置固件,ML307H,模组端固件由厂商提供，用户通过C二次开发,无
66.0,山东微赞信息技术有限公司,语航员,FreeRTOS,杰理科技AC7916,linux,​Code::Blocks
67.0,Luka卢卡,Luka卢卡AI学伴,Android,MT6737V/TM,Ubuntu14.04,GCC
68.0,北京爱德发科技有限公司,EDIFIER 漫步者,FreeRTOS,JL7096D6,杰理自带编译工具code block,https://doc.zh-jieli.com/vue/#/docs/tools
69.0,深圳只点智能电子技术有限公司,梧桐细雨,alios,txw818-c0L,CDK编译软件,csky-elfabiv2-tools-i386-minilibc-20230301 https://www.xrvm.cn/community/download?id=4224178809689149440
70.0,深圳市华盛昌科技实业股份有限公司,CEM华盛昌,自研RTOS,F28P550SJ,CCS,www.ti.com
71.0,纽曼,纽曼,ThreadX,ASR3603C,Windows系统msys2,ARM DS-5 V5.26.2 (64-bit)
72.0,湖南纽曼爱家科技有限公司,纽曼,OSAL,FR8016,Keil uVision5 ,ARM Compiler 5 (ARMCC)
73.0,智驿未来,AI录音卡,RTOS,AC7911BA,PI32V2,PI32V2 r3 Empty Compiler
