操作系统,设备数量,占比
RTOS,26,14.4%
Android,26,14.4%
无,9,5.0%
Linux,8,4.4%
安卓,7,3.9%
FreeRTOS,7,3.9%
windows / macos,7,3.9%
LINUX,6,3.3%
Windows、Mac OS,5,2.8%
ThreadX,5,2.8%
OSAL,3,1.7%
freertos,3,1.7%
Zephyr,2,1.1%
RTOS，方案提供商：ASR,2,1.1%
Freertos,2,1.1%
Android系统,2,1.1%
Android 14,2,1.1%
基于安卓15的讯飞定制DUI6.0,2,1.1%
否,2,1.1%
ThreadX V5.1,2,1.1%
RTOS（微克）定制 研和os,2,1.1%
FreeRTOS (ESP-IDF 5.4.0),2,1.1%
"Windows7,10,11/Mac10.15+",2,1.1%
RTOS ,1,0.6%
Android 13,1,0.6%
JL Smart 0s,1,0.6%
安卓9.0,1,0.6%
展锐 UNC_RTOS MOCOR,1,0.6%
RT-Thread,1,0.6%
Qualcomm FreeRTOS,1,0.6%
ESP-IDF FreeRTOS,1,0.6%
FreeROTS,1,0.6%
Real-Time Operating System,1,0.6%
Zephyr RTOS,1,0.6%
"RTOS系统,自研， 深圳市爱都科技有限公司",1,0.6%
基于安卓定制系统,1,0.6%
PAR OS,1,0.6%
RTOS 海思 LiteOS,1,0.6%
THREADX,1,0.6%
Threadx,1,0.6%
RTX,1,0.6%
RTOS 翱捷科技股份有限公司 定制,1,0.6%
系统Openharmony，内核liteos,1,0.6%
LiteOS-M,1,0.6%
threadX,1,0.6%
 UNC RTOS,1,0.6%
/,1,0.6%
mcu,1,0.6%
Andriod,1,0.6%
Rokid Yodaos-Sprite操作系统,1,0.6%
FreeRTOS+Linux,1,0.6%
泰凌微实时内核 (裸机)（也可移植运行FreeRTOS）,1,0.6%
Android ,1,0.6%
RTOS 广和通MC665模组,1,0.6%
FreeRTOS（ESP-IDF 内置，默认 RTOS）,1,0.6%
模组内置固件,1,0.6%
alios,1,0.6%
自研RTOS,1,0.6%
JAVA,1,0.6%
1900-01-13 00:00:00,1,0.6%
MCU：无,1,0.6%
threadx ,1,0.6%
RTOS系统-自研,1,0.6%
安卓系统,1,0.6%
